Tratamento,REP,Comportamento,Tempo,Observador,Tempo_segundos,Comportamento_2,Tempo_vagner,Tempo_segundos_vagner
CTR,REP_9,Repouso,0:18:00,tef,18,Repouso,,0
CTR,REP_9,Exploracao,1:18:00,tef,78,Exploracao,,0
CTR,REP_9,Tentativa_voo,0:22:00,tef,22,Tentativa_voo,,49.5
CTR,REP_9,Limpeza,,tef,0,Limpeza,,18
CTR,REP_9,Movimento_circular,3:13:00,tef,193,Movimento_circular,,0
CTR,REP_9,Observação ,,tef,0,Observação ,,0
COM,REP_9,Repouso,,tef,0,Repouso,,0
COM,REP_9,Exploracao,0:34:00,tef,34,Exploracao,,0
COM,REP_9,Tentativa_voo,0:45:00,tef,45,Tentativa_voo,,00:00:00
COM,REP_9,Limpeza,0:12:00,tef,12,Limpeza,,34.5
COM,REP_9,Movimento_circular,4:19:00,tef,259,Movimento_circular,,0
COM,REP_9,Observação ,,tef,0,Observação ,,0
IMI,REP_9,Repouso,0:49:00,tef,49,Repouso,,0
IMI,REP_9,Exploracao,2:51:00,tef,171,Exploracao,,0
IMI,REP_9,Tentativa_voo,0:06:00,tef,6,Tentativa_voo,,12.5
IMI,REP_9,Limpeza,0:53:00,tef,53,Limpeza,,90
IMI,REP_9,Movimento_circular,1:39:00,tef,99,Movimento_circular,,0
IMI,REP_9,Observação ,Maioria da limpeza parada mas tem momento de limpeza se movendo,tef,#VALUE!,Observação ,,0
DEL,REP_10,Repouso,0:02:00,tef,2,Repouso,,0
DEL,REP_10,Exploracao,5:00:00,tef,300,Exploracao,,0
DEL,REP_10,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
DEL,REP_10,Limpeza,,tef,0,Limpeza,,4.5
DEL,REP_10,Movimento_circular,,tef,0,Movimento_circular,,0
DEL,REP_10,Observação ,Rodou algumas vezes em torno de si ,tef,#VALUE!,Observação ,,0
CTR,REP_10,Repouso,,tef,0,Repouso,,0
CTR,REP_10,Exploracao,0:42:00,tef,42,Exploracao,,0
CTR,REP_10,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
CTR,REP_10,Limpeza,,tef,0,Limpeza,,6
CTR,REP_10,Movimento_circular,4:20:00,tef,260,Movimento_circular,,0
CTR,REP_10,Observação ,,tef,0,Observação ,,0
COM,REP_10,Repouso,0:13:00,tef,13,Repouso,,0
COM,REP_10,Exploracao,4:33:00,tef,273,Exploracao,,0
COM,REP_10,Tentativa_voo,0:37:00,tef,37,Tentativa_voo,,53
COM,REP_10,Limpeza,0:14:00,tef,14,Limpeza,,17
COM,REP_10,Movimento_circular,0:15:00,tef,15,Movimento_circular,,0
COM,REP_10,Observação ,,tef,0,Observação ,,0
IMI,REP_10,Repouso,,tef,0,Repouso,,0
IMI,REP_10,Exploracao,1:17:00,tef,77,Exploracao,,0
IMI,REP_10,Tentativa_voo,0:17:00,tef,17,Tentativa_voo,,00:00:00
IMI,REP_10,Limpeza,,tef,0,Limpeza,,22.5
IMI,REP_10,Movimento_circular,4:05:00,tef,245,Movimento_circular,,0
IMI,REP_10,Observação ,,tef,0,Observação ,,0
